0000588-000005c4 : mt6397-rtc
47ceb000-47cebfff : persistent_ram
47cec000-47cecfff : persistent_ram
47ced000-47cedfff : persistent_ram
47cee000-47ceefff : persistent_ram
47cef000-47ceffff : persistent_ram
47cf0000-47cf0fff : persistent_ram
47cf1000-47cf1fff : persistent_ram
47cf2000-47cf2fff : persistent_ram
47cf3000-47cf3fff : persistent_ram
47cf4000-47cf4fff : persistent_ram
47cf5000-47cf5fff : persistent_ram
47cf6000-47cf6fff : persistent_ram
47cf7000-47cf7fff : persistent_ram
47cf8000-47cf8fff : persistent_ram
47cf9000-47cf9fff : persistent_ram
47cfa000-47cfafff : persistent_ram
47cfb000-47cfbfff : persistent_ram
47cfc000-47cfcfff : persistent_ram
47cfd000-47cfdfff : persistent_ram
47cfe000-47cfefff : persistent_ram
47cff000-47cfffff : persistent_ram
47d00000-47d00fff : persistent_ram
47d01000-47d01fff : persistent_ram
47d02000-47d02fff : persistent_ram
47d03000-47d03fff : persistent_ram
47d04000-47d04fff : persistent_ram
47d05000-47d05fff : persistent_ram
47d06000-47d06fff : persistent_ram
47d07000-47d07fff : persistent_ram
47d08000-47d08fff : persistent_ram
47d09000-47d09fff : persistent_ram
47d0a000-47d0afff : persistent_ram
47d0b000-47d0bfff : persistent_ram
47d0c000-47d0cfff : persistent_ram
47d0d000-47d0dfff : persistent_ram
47d0e000-47d0efff : persistent_ram
47d0f000-47d0ffff : persistent_ram
47d10000-47d10fff : persistent_ram
47d11000-47d11fff : persistent_ram
47d12000-47d12fff : persistent_ram
47d13000-47d13fff : persistent_ram
47d14000-47d14fff : persistent_ram
47d15000-47d15fff : persistent_ram
47d16000-47d16fff : persistent_ram
47d17000-47d17fff : persistent_ram
47d18000-47d18fff : persistent_ram
47d19000-47d19fff : persistent_ram
47d1a000-47d1afff : persistent_ram
47d1b000-47d1bfff : persistent_ram
47d1c000-47d1cfff : persistent_ram
47d1d000-47d1dfff : persistent_ram
47d1e000-47d1efff : persistent_ram
47d1f000-47d5efff : persistent_ram
47d5f000-47d5f1ff : persistent_ram
47d5f200-47d5f3ff : persistent_ram
47d5f400-47d5f5ff : persistent_ram
47d5f600-47d5f7ff : persistent_ram
47d5f800-47d5f9ff : persistent_ram
47d5fa00-47d5fbff : persistent_ram
47d5fc00-47d5fdff : persistent_ram
47d5fe00-47d5ffff : persistent_ram
47d60000-47d6ffff : persistent_ram
47dd0000-77feffff : System RAM
  51b00000-52662fff : reserved
78000000-7efdffff : System RAM
  78000000-7816ffff : reserved
  7c000000-7d5fffff : reserved
7f600000-7f6fffff : System RAM
  7f600000-7f640fff : reserved
7f7c0000-7f7fffff : System RAM
  7f7c0000-7f7fffff : reserved
80000000-8cffffff : System RAM
8d300000-9f3effff : System RAM
  8e000000-9dffffff : reserved
9ff00000-9ffeffff : System RAM
a0000000-bdffffff : System RAM
be400000-beffffff : System RAM
bf300000-bff2ffff : System RAM
bfff0000-bfffefff : System RAM
c0000000-cfffafff : System RAM
d0000000-13fffefff : System RAM
  feff6000-feffefff : reserved
  fefff000-ffffffff : reserved
  127000000-13effffff : reserved
  13f7e5000-13fde5fff : reserved
  13fde6000-13fea9fff : reserved
  13feaa000-13feabfff : reserved
  13feac000-13fffefff : reserved
